request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_88,10420.27,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,Recommended installments based on 90-day safety check.
request_89,8980896.53,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,Recommended installments based on 90-day safety check.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.0,2026-07-06,none,Recommended full_payment based on 90-day safety check.
request_91,365.97,affordable_later,wait,none,2024-11-15,none,Recommended wait based on 90-day safety check.
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034.0,2025-02-05,none,Recommended full_payment based on 90-day safety check.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Recommended full_payment based on 90-day safety check.
request_94,572.0,affordable_now,full_payment,2024-12-04:572.0,2024-12-04,none,Recommended full_payment based on 90-day safety check.
request_95,26203.15,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_96,69060.23,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,Recommended installments based on 90-day safety check.
request_97,1161.53,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,Recommended installments based on 90-day safety check.
request_98,9310.17,affordable_later,wait,none,2025-09-15,none,Recommended wait based on 90-day safety check.
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062.0,2026-07-04,none,Recommended full_payment based on 90-day safety check.
request_100,14574.14,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.0,2025-11-03,none,Recommended full_payment based on 90-day safety check.
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Recommended installments based on 90-day safety check.
request_103,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_104,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500.0,2026-06-08,none,Recommended full_payment based on 90-day safety check.
request_106,435.53,affordable_later,wait,none,2025-02-15,none,Recommended wait based on 90-day safety check.
request_107,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_108,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_109,590.58,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,Recommended installments based on 90-day safety check.
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Recommended installments based on 90-day safety check.
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.0,2026-04-03,none,Recommended full_payment based on 90-day safety check.
request_112,201.9,affordable_later,wait,none,2024-08-15,none,Recommended wait based on 90-day safety check.
request_113,25312.55,affordable_later,wait,none,2026-09-15,none,Recommended wait based on 90-day safety check.
request_114,51849.36,affordable_later,wait,none,2026-03-15,none,Recommended wait based on 90-day safety check.
request_115,13816.98,affordable_later,wait,none,2024-11-15,none,Recommended wait based on 90-day safety check.
request_116,4333.26,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_117,880.0,affordable_now,full_payment,2026-07-05:880.0,2026-07-05,none,Recommended full_payment based on 90-day safety check.
request_118,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_119,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000.0,2026-04-06,none,Recommended full_payment based on 90-day safety check.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Recommended full_payment based on 90-day safety check.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Recommended installments based on 90-day safety check.
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.0,2026-01-07,none,Recommended full_payment based on 90-day safety check.
request_124,1348.84,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,Recommended installments based on 90-day safety check.
request_125,6411.94,affordable_later,wait,none,2025-11-15,none,Recommended wait based on 90-day safety check.
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600.0,2026-07-03,none,Recommended full_payment based on 90-day safety check.
request_127,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_128,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_129,146.56,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_130,296.96,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_131,1293.6,affordable_later,not_recommended,none,2025-07-15,none,Recommended not_recommended based on 90-day safety check.
request_132,6.75,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_133,15770000.0,affordable_now,not_recommended,none,2024-03-07,none,Recommended not_recommended based on 90-day safety check.
request_134,3610868.14,affordable_later,wait,none,2025-08-15,none,Recommended wait based on 90-day safety check.
request_135,293.26,affordable_later,wait,none,2026-07-15,none,Recommended wait based on 90-day safety check.
request_136,468.92,affordable_later,wait,none,2024-06-15,none,Recommended wait based on 90-day safety check.
request_137,2271.31,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_138,970.27,affordable_with_plan,partial_payment,2026-04-07:970.27|2026-04-15:286.67,2026-04-15,none,Recommended partial_payment based on 90-day safety check.
request_139,1170.09,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,Recommended installments based on 90-day safety check.
request_140,804.52,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_141,22570.06,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Recommended full_payment based on 90-day safety check.
request_143,1975.68,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_144,142.49,affordable_later,wait,none,2026-09-15,none,Recommended wait based on 90-day safety check.
request_145,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_146,20407.21,affordable_later,wait,none,2025-10-15,none,Recommended wait based on 90-day safety check.
request_147,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_148,6255.87,affordable_later,not_recommended,none,2024-08-15,none,Recommended not_recommended based on 90-day safety check.
request_149,23457.12,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,Recommended installments based on 90-day safety check.
request_150,8.38,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000.0,2024-09-03,none,Recommended full_payment based on 90-day safety check.
request_152,10066.12,affordable_later,not_recommended,none,2025-04-15,none,Recommended not_recommended based on 90-day safety check.
request_153,92.54,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_154,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_155,53045.93,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_156,11182.27,affordable_later,wait,none,2026-05-15,none,Recommended wait based on 90-day safety check.
request_157,4100219.28,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Recommended installments based on 90-day safety check.
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398.0,2026-01-04,none,Recommended full_payment based on 90-day safety check.
request_160,550.49,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,Recommended installments based on 90-day safety check.
request_161,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_162,1920295.56,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_163,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_164,26478482.83,affordable_later,not_recommended,none,2025-04-18,none,Recommended not_recommended based on 90-day safety check.
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600.0,2026-04-06,none,Recommended full_payment based on 90-day safety check.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Recommended installments based on 90-day safety check.
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802.0,2025-05-05,none,Recommended full_payment based on 90-day safety check.
request_168,4628.95,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976.0,2024-03-04,none,Recommended full_payment based on 90-day safety check.
request_170,28333292.36,affordable_later,not_recommended,none,2025-10-15,none,Recommended not_recommended based on 90-day safety check.
request_171,47.68,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_172,8116.27,affordable_later,not_recommended,none,2024-08-15,none,Recommended not_recommended based on 90-day safety check.
request_173,59158.77,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-12-15,none,Recommended installments based on 90-day safety check.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Recommended installments based on 90-day safety check.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Recommended full_payment based on 90-day safety check.
request_176,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_177,821.71,affordable_later,wait,none,2026-03-15,none,Recommended wait based on 90-day safety check.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Recommended installments based on 90-day safety check.
request_179,4326433.82,affordable_later,wait,none,2025-07-15,none,Recommended wait based on 90-day safety check.
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500.0,2026-07-06,none,Recommended full_payment based on 90-day safety check.
request_181,193.69,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_182,28101.98,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_183,24730874.7,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,Recommended installments based on 90-day safety check.
request_184,14507.95,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_185,254.45,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_186,1475.17,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_187,36475.51,affordable_later,wait,none,2024-11-15,none,Recommended wait based on 90-day safety check.
request_188,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Recommended full_payment based on 90-day safety check.
request_190,314.57,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Recommended full_payment based on 90-day safety check.
request_192,302.59,affordable_later,wait,none,2026-06-16,none,Recommended wait based on 90-day safety check.
request_193,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_194,35489.58,affordable_later,wait,none,2025-10-15,none,Recommended wait based on 90-day safety check.
request_195,690.68,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Recommended full_payment based on 90-day safety check.
request_197,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800.0,2026-07-07,none,Recommended full_payment based on 90-day safety check.
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Recommended installments based on 90-day safety check.
request_200,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000.0,2026-04-03,none,Recommended full_payment based on 90-day safety check.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900.0,2024-12-05,none,Recommended full_payment based on 90-day safety check.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Recommended installments based on 90-day safety check.
request_204,458.48,affordable_later,wait,none,2026-03-15,none,Recommended wait based on 90-day safety check.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000.0,2024-03-06,none,Recommended full_payment based on 90-day safety check.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Recommended installments based on 90-day safety check.
request_207,5028.09,affordable_later,wait,none,2026-07-15,none,Recommended wait based on 90-day safety check.
request_208,2652355.92,affordable_later,wait,none,2024-06-15,none,Recommended wait based on 90-day safety check.
request_209,2188.23,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_210,1077.16,affordable_with_plan,partial_payment,2026-04-06:1077.16|2026-04-15:282.86,2026-04-15,none,Recommended partial_payment based on 90-day safety check.
request_211,153.92,affordable_later,wait,none,2024-09-15,none,Recommended wait based on 90-day safety check.
request_212,4501260.26,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Recommended installments based on 90-day safety check.
request_214,57668.22,affordable_with_plan,installments,2024-12-04:36270.0|2025-01-01:36270.0,2024-12-15,none,Recommended installments based on 90-day safety check.
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Recommended installments based on 90-day safety check.
request_216,516.26,affordable_later,wait,none,2026-09-15,none,Recommended wait based on 90-day safety check.
request_217,9673.92,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_218,25855505.64,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,Recommended installments based on 90-day safety check.
request_219,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_220,31.31,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800.0,2025-11-03,none,Recommended full_payment based on 90-day safety check.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078.0,2026-01-05,none,Recommended full_payment based on 90-day safety check.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Recommended full_payment based on 90-day safety check.
request_224,8820183.66,affordable_later,not_recommended,none,2025-04-15,none,Recommended not_recommended based on 90-day safety check.
request_225,8688405.33,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_226,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_227,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_228,766176.39,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_229,464.57,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_230,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_231,35706.0,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,Recommended installments based on 90-day safety check.
request_232,28.4,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_233,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_234,248.95,affordable_later,wait,none,2026-08-15,none,Recommended wait based on 90-day safety check.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Recommended full_payment based on 90-day safety check.
request_236,6178846.97,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000.0,2026-04-05,none,Recommended full_payment based on 90-day safety check.
request_238,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_239,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_240,5895.81,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Recommended installments based on 90-day safety check.
request_242,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468.0,2026-07-07,none,Recommended full_payment based on 90-day safety check.
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918.0,2024-06-04,none,Recommended full_payment based on 90-day safety check.
request_245,29257.59,affordable_later,wait,none,2025-12-15,none,Recommended wait based on 90-day safety check.
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Recommended installments based on 90-day safety check.
request_247,1035.31,affordable_later,wait,none,2024-09-15,none,Recommended wait based on 90-day safety check.
request_248,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_249,54.04,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_250,14486.06,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_251,1513.6,affordable_now,not_recommended,none,2025-05-03,none,Recommended not_recommended based on 90-day safety check.
request_252,5209900.95,affordable_later,wait,none,2026-08-15,none,Recommended wait based on 90-day safety check.
request_253,1494.67,affordable_later,not_recommended,none,2024-05-15,none,Recommended not_recommended based on 90-day safety check.
request_254,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000.0,2026-04-06,none,Recommended full_payment based on 90-day safety check.
request_256,143660.71,affordable_later,not_recommended,none,2024-08-15,none,Recommended not_recommended based on 90-day safety check.
request_257,414.33,affordable_later,wait,none,2025-11-15,none,Recommended wait based on 90-day safety check.
request_258,634.59,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_259,241.04,affordable_later,wait,none,2024-11-15,none,Recommended wait based on 90-day safety check.
request_260,8265073.4,affordable_with_plan,partial_payment,2025-02-06:8265073.4|2025-03-15:43813926.6,2025-03-15,none,Recommended partial_payment based on 90-day safety check.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Recommended full_payment based on 90-day safety check.
request_262,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_263,7990.45,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_264,26798.22,affordable_later,wait,none,2026-05-15,none,Recommended wait based on 90-day safety check.
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970.0,2024-03-06,none,Recommended full_payment based on 90-day safety check.
request_266,739.38,affordable_later,not_recommended,none,2025-10-15,none,Recommended not_recommended based on 90-day safety check.
request_267,1783.19,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,Recommended installments based on 90-day safety check.
request_268,1014.44,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Recommended installments based on 90-day safety check.
request_269,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_270,224.93,affordable_later,not_recommended,none,2026-09-21,none,Recommended not_recommended based on 90-day safety check.
request_271,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_272,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_273,10743745.89,affordable_with_plan,partial_payment,2026-04-07:10743745.89|2026-04-15:5117254.11,2026-04-15,none,Recommended partial_payment based on 90-day safety check.
request_274,2354.56,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,Recommended installments based on 90-day safety check.
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000.0,2025-05-06,none,Recommended full_payment based on 90-day safety check.
